year,month,day,sum_scores_sentiment,num_tweets
2014,5,22,585,388
2014,4,2,1093,774
2014,3,13,2417,1694
2014,1,6,381,273
2014,5,20,144,108
2014,4,12,1058,697
2014,3,15,3061,2121
2014,1,4,746,531
2014,5,18,133,90
2014,4,14,2100,1389
2014,2,28,581,399
2014,1,10,265,188
2014,5,16,441,288
2014,4,8,5807,3913
2014,2,26,816,593
2014,1,8,321,240
2014,5,30,115,80
2014,4,10,1654,1125
2014,3,16,3641,2493
2014,2,24,1047,740
2014,1,14,263,196
2014,5,28,116,82
2014,3,18,1500,1063
2014,2,22,848,607
2014,1,12,222,159
2014,5,26,166,120
2014,3,20,1110,764
2014,2,20,515,369
2014,4,21,2529,1437
2014,5,24,251,177
2014,3,22,1349,946
2014,2,18,1847,1255
2014,4,23,3007,2067
2014,5,6,642,442
2014,3,24,2865,1957
2014,2,16,3574,2447
2014,4,17,990,641
2014,5,4,494,350
2013,12,30,569,384
2014,3,26,5367,3685
2014,1,19,541,350
2014,4,19,1536,936
2014,5,2,895,643
2014,3,28,2307,1580
2014,1,17,244,175
2014,6,2,39,33
2014,4,29,941,684
2014,2,15,4812,3303
2014,3,30,1470,1022
2014,1,23,354,257
2014,5,14,103,60
2014,2,13,1025,739
2014,1,21,1118,805
2014,4,25,692,474
2014,5,12,218,166
2014,2,11,394,282
2014,3,2,1277,912
2014,1,27,315,243
2014,4,27,1139,799
2014,5,10,164,117
2014,2,9,276,202
2014,3,4,1295,851
2014,1,25,270,196
2014,4,5,1065,775
2014,5,8,179,118
2014,2,7,273,207
2014,3,6,2686,1904
2014,1,31,457,314
2014,4,7,1224,822
2014,2,5,231,147
2014,3,8,2352,1658
2014,1,29,175,124
2014,4,1,1380,968
2014,2,3,239,165
2014,3,10,2337,1607
2014,1,3,519,340
2014,4,3,958,698
2014,2,1,271,202
2014,3,12,2142,1480
2014,1,1,331,239
2014,5,23,452,333
2014,4,13,994,685
2014,3,14,3458,2388
2014,1,7,233,173
2014,5,21,1169,805
2014,4,15,1139,823
2014,1,5,462,327
2014,5,19,74,51
2014,4,9,2057,1422
2014,2,27,565,404
2014,1,11,479,349
2014,5,17,150,104
2014,4,11,1275,924
2014,2,25,1715,1227
2014,1,9,243,158
2014,5,31,94,69
2014,3,17,2015,1403
2014,2,23,1609,1115
2014,1,15,343,235
2014,5,29,190,152
2014,3,19,1322,942
2014,2,21,1408,974
2014,1,13,341,237
2014,5,27,372,286
2014,3,21,874,626
2014,2,19,1946,1351
2014,4,20,1632,967
2014,5,25,149,96
2014,3,23,1403,989
2014,2,17,2283,1616
2014,4,22,2346,1381
2014,5,7,725,526
2014,3,25,3539,2487
2014,1,18,485,332
2014,4,16,882,614
2014,5,5,736,501
2013,12,31,400,278
2014,3,27,2426,1692
2014,1,16,415,273
2014,4,18,1701,1034
2014,5,3,607,423
2013,12,29,89,58
2014,3,29,1131,794
2014,1,22,500,346
2014,6,1,42,30
2014,4,28,778,536
2014,5,1,1166,774
2014,2,14,4820,3289
2014,3,31,1567,1126
2014,1,20,942,680
2014,4,30,598,413
2014,5,15,94,65
2014,2,12,222,163
2014,3,1,726,509
2014,1,26,310,205
2014,4,24,1839,1259
2014,5,13,131,86
2014,2,10,392,285
2014,3,3,915,642
2014,1,24,269,193
2014,4,26,722,520
2014,5,11,291,208
2014,2,8,206,154
2014,3,5,3546,2503
2014,1,30,281,200
2014,4,4,2281,1570
2014,5,9,364,247
2014,2,6,144,101
2014,3,7,5446,3829
2014,1,28,236,174
2014,4,6,902,643
2014,2,4,328,225
2014,3,9,3272,2269
2014,1,2,740,505
2014,2,2,181,129
2014,3,11,2033,1387
